--------------------
"Run name","me15di_bmedclab_run5_single.txt"
--------------------
"Average P@20 = ",.6732
"Average CR@20 = ",.3563
"Average F1@20 = ",.4554
--------------------
"Query Id ","Location name",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
154,"Niagara_Falls",.0,.2,.45,.5333,.575,.58,.0,.0909,.2273,.4091,.5455,.5909,.0,.125,.302,.463,.5598,.5854
155,"Golden_Gate_Bridge_in_San_Francisco",.8,.9,.9,.9333,.95,.96,.1364,.1818,.3182,.4091,.5455,.6818,.233,.3025,.4701,.5688,.693,.7973
156,"Neuschwanstein_Castle",.6,.8,.85,.8,.8,.82,.08,.12,.4,.52,.56,.64,.1412,.2087,.544,.6303,.6588,.7189
157,"Christ_Church_Cathedral_Missouri",.8,.7,.7,.7333,.725,.76,.08,.2,.32,.48,.48,.56,.1455,.3111,.4392,.5802,.5776,.6448
158,"Mount_Rushmore_in_South_Dakota",.6,.5,.5,.5667,.575,.64,.12,.2,.28,.52,.56,.64,.2,.2857,.359,.5423,.5674,.64
159,"Puerta_de_Toledo",.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
160,"Urquhart_Castle",1.0,1.0,1.0,1.0,1.0,1.0,.1667,.2083,.3333,.4583,.5417,.5417,.2857,.3448,.5,.6286,.7027,.7027
161,"Gare_du_Nord_Paris",1.0,1.0,1.0,1.0,.975,.96,.16,.28,.48,.48,.52,.6,.2759,.4375,.6486,.6486,.6783,.7385
162,"Newgrange_in_Ireland",1.0,.8,.8,.7667,.725,.76,.2083,.25,.3333,.4167,.4583,.5417,.3448,.381,.4706,.5399,.5616,.6325
163,"Windmills_at_Kinderdijk",1.0,.7,.85,.9,.925,.94,.2,.24,.36,.4,.44,.48,.3333,.3574,.5058,.5538,.5963,.6355
164,"Conciergerie",1.0,1.0,1.0,1.0,1.0,1.0,.16,.28,.56,.64,.68,.72,.2759,.4375,.7179,.7805,.8095,.8372
165,"Palazzo_Madama",.6,.5,.6,.6,.525,.5,.0909,.1364,.4091,.5455,.5909,.6364,.1579,.2143,.4865,.5714,.556,.56
166,"Split_Rock_Lighthouse",.8,.9,.85,.8333,.8,.74,.12,.16,.32,.48,.6,.68,.2087,.2717,.465,.6091,.6857,.7087
167,"The_Little_Mermaid_Denmark",1.0,.8,.85,.7333,.775,.7,.1429,.2143,.5,.5714,.7143,.7143,.25,.338,.6296,.6423,.7434,.7071
168,"Great_Pyramid_of_Giza",.8,.9,.75,.7333,.725,.72,.2,.4,.5333,.7333,.8,.8,.32,.5538,.6234,.7333,.7607,.7579
169,"Pitti_Palace",1.0,.6,.55,.6667,.7,.62,.2273,.2727,.3182,.5,.6364,.6364,.3704,.375,.4031,.5714,.6667,.6281
170,"Georgia_State_Capitol",.4,.5,.55,.5667,.55,.48,.1053,.2105,.3684,.4211,.4211,.4211,.1667,.2963,.4413,.4831,.477,.4486
171,"Dome_des_Invalides",.8,.9,.9,.9333,.95,.96,.12,.2,.36,.36,.52,.64,.2087,.3273,.5143,.5196,.6721,.768
172,"Reggia_di_Caserta",.6,.6,.65,.6333,.6,.58,.12,.2,.32,.4,.48,.48,.2,.3,.4289,.4903,.5333,.5253
173,"The_Burj_al_Arab_Hotel",.6,.8,.8,.8667,.825,.82,.12,.2,.32,.52,.56,.6,.2,.32,.4571,.65,.6671,.693
174,"Elephanta_Caves",1.0,.9,.9,.7333,.7,.74,.2083,.3333,.5417,.5417,.6667,.75,.3448,.4865,.6763,.6231,.6829,.745
175,"Basilica_of_Santa_Croce",1.0,.6,.7,.8,.85,.86,.16,.2,.32,.48,.6,.72,.2759,.3,.4392,.6,.7034,.7838
176,"Aachen_Cathedral",.6,.8,.9,.8667,.85,.86,.12,.28,.36,.6,.64,.64,.2,.4148,.5143,.7091,.7302,.7339
177,"Monument_to_the_Great_Fire_of_London",.4,.4,.4,.5,.525,.54,.04,.08,.2,.36,.48,.52,.0727,.1333,.2667,.4186,.5015,.5298
178,"Longmen_Grottoes",.4,.5,.55,.6,.7,.76,.04,.16,.32,.56,.72,.72,.0727,.2424,.4046,.5793,.7099,.7395
179,"Louisiana_State_Capitol",.2,.1,.2,.1667,.2,.2,.04,.04,.16,.2,.28,.32,.0667,.0571,.1778,.1818,.2333,.2462
180,"The_Great_Sphinx_at_Giza",1.0,1.0,.85,.8,.725,.72,.2,.24,.36,.4,.48,.6,.3333,.3871,.5058,.5333,.5776,.6545
181,"Teatro_Real_Madrid",.2,.2,.15,.2667,.275,.32,.0435,.087,.1304,.2609,.3043,.4783,.0714,.1212,.1395,.2637,.2889,.3834
182,"Palacio_de_la_Magdalena",.4,.4,.25,.3,.375,.32,.08,.12,.12,.28,.48,.48,.1333,.1846,.1622,.2897,.4211,.384
183,"Sowjetisches_Ehrenmal",.8,.9,.75,.7333,.65,.66,.16,.2,.32,.4,.44,.48,.2667,.3273,.4486,.5176,.5248,.5558
184,"Cathedral_of_Trier",.4,.6,.7,.7333,.7,.7,.04,.2,.36,.52,.6,.6,.0727,.3,.4755,.6085,.6462,.6462
